2024-06-09 08:16:25.704218	开始信号数据读取
信号数据读取总耗时：0.0069959163665771484
投资组合的合约代码（总数：141）
['0xfa3e941d1f6b7b10ed84a0c211bfa8aee907965e', '0xf951e335afb289353dc249e82926178eac7ded78', '0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e', '0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0', '0x0ab87046fbb341d058f17cbc4c1133f25a20a52f', '0xfe2e637202056d30016725477c5da089ab0a043a', '0xae7ab96520de3a18e5e111b5eaab095312d7fe84', '0xbe9895146f7af43049ca1c1ae358b0541ea49704', '0xa1290d69c65a6fe4df752f95823fae25cb99e5a7']
投资组合的初始价值：10000000
2024-06-09 08:16:26.063206(1/141)	0xfa3e941d1f6b7b10ed84a0c211bfa8aee907965e数据加载完成，总数据量：4116
2024-06-09 08:16:26.200205(2/141)	0xf951e335afb289353dc249e82926178eac7ded78数据加载完成，总数据量：7320
2024-06-09 08:16:26.249204(3/141)	0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee数据加载完成，总数据量：2078
2024-06-09 08:16:26.542215(4/141)	0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e数据加载完成，总数据量：10942
2024-06-09 08:16:26.799205(5/141)	0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0数据加载完成，总数据量：10944
2024-06-09 08:16:26.998200(6/141)	0x0ab87046fbb341d058f17cbc4c1133f25a20a52f数据加载完成，总数据量：10944
2024-06-09 08:16:27.281206(7/141)	0xfe2e637202056d30016725477c5da089ab0a043a数据加载完成，总数据量：8760
2024-06-09 08:16:27.492202(8/141)	0xae7ab96520de3a18e5e111b5eaab095312d7fe84数据加载完成，总数据量：10944
2024-06-09 08:16:27.709200(9/141)	0xbe9895146f7af43049ca1c1ae358b0541ea49704数据加载完成，总数据量：10944
2024-06-09 08:16:27.786199(10/141)	0xa1290d69c65a6fe4df752f95823fae25cb99e5a7数据加载完成，总数据量：1962
2024-06-09 08:16:28.207198(11/141)	0xc55126051b22ebb829d00368f4b12bde432de5da数据加载完成，总数据量：10942
2024-06-09 08:16:28.261196(12/141)	0xd555498a524612c67f286df0e0a9a64a73a7cdc7数据加载完成，总数据量：1314
2024-06-09 08:16:28.312195(13/141)	0x0000000000ca73a6df4c58b84c5b4b847fe8ff39数据加载完成，总数据量：1154
2024-06-09 08:16:28.429188(14/141)	0x0b7f0e51cd1739d6c96982d55ad8fa634dd43a9c数据加载完成，总数据量：5475
2024-06-09 08:16:28.622176(15/141)	0x275f5ad03be0fa221b4c6649b8aee09a42d9412a数据加载完成，总数据量：9504
2024-06-09 08:16:28.664192(16/141)	0xa1d0e215a23d7030842fc67ce582a6afa3ccab83数据加载完成，总数据量：1438
2024-06-09 08:16:28.744190(17/141)	0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44数据加载完成，总数据量：2208
2024-06-09 08:16:29.093190(18/141)	0x576e2bed8f7b46d34016198911cdf9886f78bea7数据加载完成，总数据量：5594
2024-06-09 08:16:29.312187(19/141)	0xc00e94cb662c3520282e6f5717214004a7f26888数据加载完成，总数据量：10943
2024-06-09 08:16:29.518179(20/141)	0x7e77dcb127f99ece88230a64db8d595f31f1b068数据加载完成，总数据量：10931
2024-06-09 08:16:29.520184(21/141)	0xa0246c9032bc3a600820415ae600c6388619a14d数据加载完成，总数据量：0
